 ID       ,, Summary                                                       ,, Category                      ,, Status    ,, Resolution           ,, Severity      ,, Priority  ,, Assignee              ,, Opened               ,, Changed              ,, Found In                                      ,, Fix By                                                        ,, Bug Type       ,, Build      ,, Branch                                    ,, Reopened  ,, Regression  ,, Resolved             ,, Closed               
 1233361 ,, Create a Maven plugin for VIB creation/signing               ,, Unknown                      ,, closed   ,, wont fix            ,, minor        ,, P2       ,, frankli              ,, 2014-04-15 23:32:54 ,, 2019-01-20 01:27:03 ,, MARVIN 1.0 Development                       ,, MARVIN VxRail_4.0.100                                        ,, Task          ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-12-21 11:01:41 ,, 2016-12-22 08:11:52 
 1272957 ,, Log Bundle should provide % complete                         ,, Management                   ,, closed   ,, not a bug           ,, cosmetic     ,, P3       ,, frankli              ,, 2014-06-19 23:14:07 ,, 2017-10-13 09:32:46 ,, MARVIN 1.0                                   ,, MARVIN VxRail_5.0                                            ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-10-13 09:31:28 ,, 2017-10-13 09:32:45 
 1276108 ,, [FR] Pre-Validation of IPv6 connectivity to upstream swi...  ,, Configuration                ,, closed   ,, not a bug           ,, critical     ,, P1       ,, frankli              ,, 2014-06-25 14:42:23 ,, 2017-07-28 09:15:08 ,, MARVIN 1.0                                   ,, MARVIN VxRail_5.0                                            ,, Feature       ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-07-28 09:14:44 ,, 2017-07-28 09:15:08 
 1305776 ,, [EMC] Disk alert does not work for Marvin                    ,, Management                   ,, closed   ,, unable to duplicate ,, critical     ,, P1       ,, charliec             ,, 2014-08-14 23:47:35 ,, 2018-08-05 01:22:39 ,, MARVIN 1.0 GA                                ,, MARVIN VxRail_4.0.100                                        ,, Feature       ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-11-14 21:33:49 ,, 2016-12-20 12:38:35 
 1313228 ,, The UI shows reduced cluster capacity even VC reports al...  ,, Management                   ,, closed   ,, fixed               ,, serious      ,, P1       ,, libi                 ,, 2014-08-27 10:32:59 ,, 2017-04-20 08:44:31 ,, MARVIN 1.0 GA                                ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-12-08 16:54:04 ,, 2016-12-20 07:52:52 
 1330933 ,, [FR] Validate Marvin's vib/rpm versions in pre-validation    ,, Configuration                ,, closed   ,, wont fix            ,, critical     ,, P1       ,, vxrail-guru          ,, 2014-09-26 11:19:26 ,, 2018-06-07 03:58:38 ,, MARVIN 1.0 Post-GA                           ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-03-24 09:41:57 ,, 2017-04-18 10:59:37 
 1332946 ,, [FR] Provide a user ability to update LogInsight VM via ...  ,, Management                   ,, closed   ,, wont fix            ,, serious      ,, P1       ,, ntenczar             ,, 2014-09-30 13:13:13 ,, 2017-08-16 14:32:14 ,, MARVIN 1.0.1 Development                     ,, MARVIN VxRail_5.0                                            ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-11-15 08:36:53 ,, 2017-06-23 07:49:05 
 1338146 ,, [FR] migrate powered off / suspended VMs during maintana...  ,, Management                   ,, closed   ,, fixed               ,, serious      ,, P1       ,, smunot               ,, 2014-10-09 16:55:21 ,, 2017-11-10 15:20:09 ,, MARVIN 1.0 GA                                ,, MARVIN VxRail_4.5 Dev_triage, MARVIN VxRail_4.0.400 Development,, Defect        ,, 2131521   ,, dell                                     ,, 1        ,, Unknown    ,, 2017-06-16 13:31:03 ,, 2017-06-30 09:32:30 
 1353174 ,, [FR] Appliance / node add process should bring ESXi/marv...  ,, Unknown                      ,, closed   ,, not a bug           ,, critical     ,, P1       ,, frankli              ,, 2014-11-04 20:47:12 ,, 2017-07-27 08:30:32 ,, MARVIN 1.0                                   ,, MARVIN VxRail_5.0                                            ,, Feature       ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-07-27 08:30:12 ,, 2017-07-27 08:30:31 
 1362325 ,, [FR] Thorough Validation should provide warnings as well     ,, Configuration                ,, closed   ,, fixed               ,, critical     ,, P1       ,, frankli              ,, 2014-11-19 18:09:26 ,, 2017-11-05 01:24:34 ,, MARVIN 1.0 GA                                ,, MARVIN VxRail_4.0.100                                        ,, Feature       ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-12-20 21:02:01 ,, 2016-12-22 08:13:03 
 1371537 ,, Move abbreviation of SSD and HDD to our language bundles.    ,, Management                   ,, closed   ,, fixed               ,, minor        ,, P2       ,, frankli              ,, 2014-12-09 11:54:02 ,, 2019-02-05 12:11:39 ,, MARVIN 1.0.1 GA                              ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-12-11 18:38:14 ,, 2016-12-20 07:52:52 
 1394966 ,, [FR] EVO:RAIL UI should restrict starting Appliance upgr...  ,, Management                   ,, closed   ,, not a bug           ,, critical     ,, P1       ,, frankli              ,, 2015-02-03 14:37:55 ,, 2017-08-16 14:32:14 ,, MARVIN 1.0.1 GA                              ,, MARVIN VxRail_5.0                                            ,, Feature       ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-07-27 08:35:59 ,, 2017-07-27 08:36:14 
 1400304 ,, Factory Installed VMs show "out of compliance" status af...  ,, Configuration                ,, closed   ,, wont fix            ,, serious      ,, P2       ,, ntenczar             ,, 2015-02-12 22:33:11 ,, 2017-03-19 01:20:58 ,, MARVIN 1.0.2 GA                              ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,, 3674796   ,, master                                   ,, 0        ,, Unknown    ,, 2016-10-03 08:34:47 ,, 2016-12-05 14:32:15 
 1403152 ,, [FR] Automate procedure how to change IP addresses / VLA...  ,, Feature Requests             ,, closed   ,, wont fix            ,, critical     ,, P1       ,, ntenczar             ,, 2015-02-19 17:19:10 ,, 2017-05-31 11:51:10 ,, MARVIN 1.1 Development                       ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Feature       ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-05-31 11:48:36 ,, 2017-05-31 11:51:10 
 1409444 ,, Unable to re-add Node after boot-disk replacement - erro...  ,, Auto Discovery               ,, closed   ,, unable to duplicate ,, serious      ,, P1       ,, vxrail-guru          ,, 2015-03-04 17:23:07 ,, 2018-08-05 01:22:39 ,, MARVIN 1.1 Development                       ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,, 2560798   ,, 1.1                                      ,, 0        ,, No         ,, 2016-11-06 22:10:03 ,, 2016-12-20 08:19:12 
 1410869 ,, [1.2.2 Nominate] [Backend Review 760021] [Pending Fronte...  ,, Management                   ,, closed   ,, duplicate           ,, serious      ,, P1       ,, frankli              ,, 2015-03-07 23:46:21 ,, 2016-12-05 14:32:15 ,, MARVIN 1.1 RC                                ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-11-08 14:13:00 ,, 2016-12-05 14:32:15 
 1444890 ,, [FR] Enable non-default VSAN alarms as part of EVO:RAIL ...  ,, Feature Requests             ,, closed   ,, wont fix            ,, serious      ,, P1       ,, shannony             ,, 2015-05-08 14:27:46 ,, 2017-04-18 11:01:03 ,, MARVIN 1.2 RTM                               ,, MARVIN VxRail_4.5                                            ,, Feature       ,,           ,,                                          ,, 0        ,, No         ,, 2016-11-21 09:59:31 ,, 2017-04-18 11:01:03 
 1455264 ,, [1.2.2 nominated] Unexpected behavior with attempt to re...  ,, Management                   ,, closed   ,, fixed               ,, minor        ,, P1       ,, liyunz               ,, 2015-05-28 19:10:27 ,, 2018-03-04 01:23:37 ,, MARVIN 1.2.1 RTM (6/19)                      ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,,           ,,                                          ,, 0        ,, No         ,, 2016-11-05 21:02:11 ,, 2016-11-10 14:56:54 
 1477065 ,, We need to normalize the crossover between Guava and Commons ,, Release Readiness            ,, resolved ,, fixed               ,, minor        ,, P1       ,, liyunz               ,, 2015-07-07 12:56:20 ,, 2017-08-13 01:23:06 ,, MARVIN 2.5 PM triage                         ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Task          ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-11-11 11:19:21 ,,                     
 1477273 ,, Text gets overlapped during the configuration build phase    ,, Usability                    ,, closed   ,, fixed               ,, cosmetic     ,, P2       ,, royl1                ,, 2015-07-07 19:17:57 ,, 2018-08-12 01:27:15 ,, MARVIN 2.0 sprint 6                          ,, MARVIN VxRail_4.0.200 , MARVIN VxRail_4.0.300 , MARVIN VxRail_4.5 ,, Defect        ,,           ,,                                          ,, 1        ,, Unknown    ,, 2017-03-01 23:53:09 ,, 2017-03-08 14:55:05 
 1480782 ,, Need to provide a UI / API capabilty to cancel hardware ...  ,, Management                   ,, closed   ,, fixed               ,, serious      ,, P1       ,, libi                 ,, 2015-07-13 15:30:54 ,, 2018-08-05 01:22:36 ,, MARVIN 1.1                                   ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-12-06 01:03:53 ,, 2016-12-20 18:35:33 
